Address,Town/City,Business Type,Color,Municipality,Security,Town Population,Municipality Population
"cnr 1st and Chadwich Avenue,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Jan Smuts and William Nicol,Hyde Park,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"39 Third Street,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Watt Ave and Third Street,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Bowling Avenue and South Road,Kramerville,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr 2nd and Arkwright Street,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"792 William Nicol Drive,Field and Study Centre,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Morning Glen Centre, cnr Bowling and Kelvin Road,Morningside Manor,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Cnr Kelvin Drive and Bowling Ave,Gallo Manor,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Main Road and Peter Place,Bryanston West,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Marlboro Drive,Marlboro Gardens,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"192 Horbart Street,Bryanston,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Absa Building, 1263 Heuwel Street,Centurion Cbd,Centurion Cbd",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
